ACC=0.533892, f1_macro=0.507179, precision_macro=0.513329, recall_macro=0.536452, f1_micro=0.533892, precision_micro=0.533892, recall_micro=0.533892, NMI=0.442349, ADJ_RAND_SCORE=0.384579
ACC=0.662559, f1_macro=0.602653, precision_macro=0.615586, recall_macro=0.643443, f1_micro=0.662559, precision_micro=0.662559, recall_micro=0.662559, NMI=0.534181, ADJ_RAND_SCORE=0.517147
ACC=0.665270, f1_macro=0.607741, precision_macro=0.630490, recall_macro=0.645091, f1_micro=0.665270, precision_micro=0.665270, recall_micro=0.665270, NMI=0.530914, ADJ_RAND_SCORE=0.513045
ACC=0.651467, f1_macro=0.587114, precision_macro=0.571837, recall_macro=0.638619, f1_micro=0.651467, precision_micro=0.651467, recall_micro=0.651467, NMI=0.521762, ADJ_RAND_SCORE=0.500600
ACC=0.649495, f1_macro=0.584784, precision_macro=0.567377, recall_macro=0.636947, f1_micro=0.649495, precision_micro=0.649495, recall_micro=0.649495, NMI=0.525131, ADJ_RAND_SCORE=0.501442
ACC=0.650234, f1_macro=0.584210, precision_macro=0.567091, recall_macro=0.636750, f1_micro=0.650234, precision_micro=0.650234, recall_micro=0.650234, NMI=0.525501, ADJ_RAND_SCORE=0.502365
ACC=0.650234, f1_macro=0.584210, precision_macro=0.567091, recall_macro=0.636750, f1_micro=0.650234, precision_micro=0.650234, recall_micro=0.650234, NMI=0.525501, ADJ_RAND_SCORE=0.502365
ACC=0.651960, f1_macro=0.589400, precision_macro=0.580077, recall_macro=0.637442, f1_micro=0.651960, precision_micro=0.651960, recall_micro=0.651960, NMI=0.544987, ADJ_RAND_SCORE=0.517094
ACC=0.652453, f1_macro=0.589695, precision_macro=0.582125, recall_macro=0.637293, f1_micro=0.652453, precision_micro=0.652453, recall_micro=0.652453, NMI=0.545192, ADJ_RAND_SCORE=0.517266
ACC=0.652453, f1_macro=0.589695, precision_macro=0.582125, recall_macro=0.637293, f1_micro=0.652453, precision_micro=0.652453, recall_micro=0.652453, NMI=0.545192, ADJ_RAND_SCORE=0.517266
ACC=0.653685, f1_macro=0.592956, precision_macro=0.588843, recall_macro=0.638195, f1_micro=0.653685, precision_micro=0.653685, recall_micro=0.653685, NMI=0.542453, ADJ_RAND_SCORE=0.517273
ACC=0.653192, f1_macro=0.592085, precision_macro=0.588660, recall_macro=0.637397, f1_micro=0.653192, precision_micro=0.653192, recall_micro=0.653192, NMI=0.540826, ADJ_RAND_SCORE=0.515759
ACC=0.653192, f1_macro=0.592085, precision_macro=0.588660, recall_macro=0.637397, f1_micro=0.653192, precision_micro=0.653192, recall_micro=0.653192, NMI=0.540826, ADJ_RAND_SCORE=0.515759
ACC=0.653192, f1_macro=0.592403, precision_macro=0.588457, recall_macro=0.637737, f1_micro=0.653192, precision_micro=0.653192, recall_micro=0.653192, NMI=0.542418, ADJ_RAND_SCORE=0.517015
ACC=0.603648, f1_macro=0.592815, precision_macro=0.634096, recall_macro=0.579872, f1_micro=0.603648, precision_micro=0.603648, recall_micro=0.603648, NMI=0.415077, ADJ_RAND_SCORE=0.381533
ACC=0.637663, f1_macro=0.601891, precision_macro=0.635375, recall_macro=0.606538, f1_micro=0.637663, precision_micro=0.637663, recall_micro=0.637663, NMI=0.523229, ADJ_RAND_SCORE=0.475476
ACC=0.657875, f1_macro=0.598243, precision_macro=0.592220, recall_macro=0.641732, f1_micro=0.657875, precision_micro=0.657875, recall_micro=0.657875, NMI=0.516432, ADJ_RAND_SCORE=0.503597
ACC=0.661573, f1_macro=0.599742, precision_macro=0.588650, recall_macro=0.647827, f1_micro=0.661573, precision_micro=0.661573, recall_micro=0.661573, NMI=0.528387, ADJ_RAND_SCORE=0.514997
ACC=0.821050, f1_macro=0.804407, precision_macro=0.815173, recall_macro=0.804527, f1_micro=0.821050, precision_micro=0.821050, recall_micro=0.821050, NMI=0.610335, ADJ_RAND_SCORE=0.636021
ACC=0.825733, f1_macro=0.810370, precision_macro=0.821678, recall_macro=0.810519, f1_micro=0.825733, precision_micro=0.825733, recall_micro=0.825733, NMI=0.620466, ADJ_RAND_SCORE=0.642008
ACC=0.821050, f1_macro=0.804864, precision_macro=0.815831, recall_macro=0.805682, f1_micro=0.821050, precision_micro=0.821050, recall_micro=0.821050, NMI=0.606573, ADJ_RAND_SCORE=0.632832
ACC=0.821050, f1_macro=0.804864, precision_macro=0.815831, recall_macro=0.805682, f1_micro=0.821050, precision_micro=0.821050, recall_micro=0.821050, NMI=0.606573, ADJ_RAND_SCORE=0.632832
ACC=0.838551, f1_macro=0.822799, precision_macro=0.828305, recall_macro=0.821603, f1_micro=0.838551, precision_micro=0.838551, recall_micro=0.838551, NMI=0.619502, ADJ_RAND_SCORE=0.657858
ACC=0.846192, f1_macro=0.831278, precision_macro=0.836290, recall_macro=0.830241, f1_micro=0.846192, precision_micro=0.846192, recall_micro=0.846192, NMI=0.632306, ADJ_RAND_SCORE=0.672158
ACC=0.845945, f1_macro=0.830954, precision_macro=0.835949, recall_macro=0.829906, f1_micro=0.845945, precision_micro=0.845945, recall_micro=0.845945, NMI=0.631861, ADJ_RAND_SCORE=0.671820
ACC=0.846192, f1_macro=0.831264, precision_macro=0.836286, recall_macro=0.830235, f1_micro=0.846192, precision_micro=0.846192, recall_micro=0.846192, NMI=0.631631, ADJ_RAND_SCORE=0.672176
ACC=0.848657, f1_macro=0.834030, precision_macro=0.838994, recall_macro=0.833076, f1_micro=0.848657, precision_micro=0.848657, recall_micro=0.848657, NMI=0.634324, ADJ_RAND_SCORE=0.676604
ACC=0.848657, f1_macro=0.834030, precision_macro=0.838994, recall_macro=0.833076, f1_micro=0.848657, precision_micro=0.848657, recall_micro=0.848657, NMI=0.634324, ADJ_RAND_SCORE=0.676604
ACC=0.850629, f1_macro=0.836470, precision_macro=0.842092, recall_macro=0.835575, f1_micro=0.850629, precision_micro=0.850629, recall_micro=0.850629, NMI=0.637171, ADJ_RAND_SCORE=0.679611
ACC=0.698512, f1_macro=0.690740, precision_macro=0.725736, recall_macro=0.708170, f1_micro=0.698512, precision_micro=0.698512, recall_micro=0.698512, NMI=0.482515, ADJ_RAND_SCORE=0.448292
ACC=0.682314, f1_macro=0.688232, precision_macro=0.693508, recall_macro=0.689130, f1_micro=0.682314, precision_micro=0.682314, recall_micro=0.682314, NMI=0.451703, ADJ_RAND_SCORE=0.412876
